fold	epoch	train loss	valid loss
1	1	2.5378812785957243	2.4406826393678784
1	2	2.451197883257499	2.461845075711608
1	3	2.4406289438997115	2.4598366329446435
1	4	2.4249530580493954	2.452570932917297
1	5	2.4198901953918117	2.4492510012350976
1	6	2.4180592954992415	2.4447479508817196
1	7	2.4088074813460136	2.449443562887609
1	8	2.398531510123423	2.452435027807951
1	9	2.396110458442798	2.4454202982597053
1	10	2.3937201912065484	2.4626276665367186
1	11	2.3969234308892196	2.473470891825855
1	12	2.3862895654006437	2.4753261068835855
1	13	2.3894544399597426	2.4462460819631815
1	14	2.3890214176861555	2.4525531800463796
1	15	2.3905247880237086	2.4535221783444285
1	16	2.380560888224965	2.4272909350693226
1	17	2.3799817474050955	2.444870062172413
1	18	2.379852827247623	2.441223877016455
1	19	2.382553185772646	2.440715682692826
1	20	2.3748579420201428	2.479490744881332
1	21	2.3766291052936674	2.461258622352034
1	22	2.383979663982258	2.4782307860441506
1	23	2.3766408593921393	2.445135754533112
1	24	2.3713150238032106	2.4824029388837516
1	25	2.366263430070627	2.454925409052521
1	26	2.370560341208548	2.4745160611346364
1	27	2.3692889638193004	2.465019999537617
1	28	2.3670763817283658	2.472075667232275
1	29	2.3699564658157475	2.4766394421458244
1	30	2.373712923351701	2.4520898889750242
1	31	2.3647445775828997	2.4515984831377864
1	32	2.363551513194204	2.449067953042686
1	33	2.3649854539678645	2.4550355272367597
1	34	2.368925947461512	2.4589029951021075
1	35	2.361789561651803	2.442170233465731
1	36	2.365771056003087	2.4616245925426483
1	37	2.3679334138865236	2.439917888492346
1	38	2.371115834041909	2.4726447542198002
1	39	2.3677042588278963	2.4427541540935636
1	40	2.3669662593857392	2.450045044068247
1	41	2.363812190565196	2.452308409381658
1	42	2.3618837055730655	2.4374067252501845
1	43	2.370270507944214	2.4318390460684896
1	44	2.3653111680821106	2.4337431704625487
1	45	2.3667654192426824	2.442101288586855
1	46	2.365969576983602	2.4526306316256523
2	1	2.5431267931744768	2.4163953667739406
2	2	2.454810138036321	2.3972742198966444
2	3	2.4438212129411165	2.421117789344862
2	4	2.438672531943221	2.4165065861307085
2	5	2.4305740539114793	2.4056436051614583
2	6	2.4189195109830868	2.4080401873216033
2	7	2.4181249153155546	2.399753458361374
2	8	2.415917944137033	2.4219824662432075
2	9	2.405606520394762	2.4123330772854388
2	10	2.4112757760119603	2.414997541811317
2	11	2.4067575289131877	2.398349574068561
2	12	2.39679769207756	2.420208544819616
2	13	2.3923820527596074	2.42759563610889
2	14	2.3912192919141764	2.4099056262057275
2	15	2.394152951042552	2.440018166496884
2	16	2.391269879428657	2.420704703312367
2	17	2.3944606177144117	2.4344327142462134
2	18	2.38725625395358	2.427415565820411
2	19	2.3869253392298737	2.402616244973615
2	20	2.386621390710344	2.438434397801757
2	21	2.38035929510435	2.4146925201639533
2	22	2.374035499260559	2.4110900808591396
2	23	2.382708087303005	2.46810814877972
2	24	2.3751057298346	2.4154198239557445
2	25	2.376789375410213	2.4144466298166662
2	26	2.3816665751221295	2.4175095229875296
2	27	2.3771430295664113	2.455211970489472
2	28	2.377170280716219	2.4239456728100777
2	29	2.3770295582659595	2.4506750511936843
2	30	2.3678395933621412	2.4222491594264284
2	31	2.372324725235259	2.4182709991000593
2	32	2.3785180994993325	2.427868542028591
3	1	2.56837022148229	2.633986690081656
3	2	2.470974566375876	2.5431880578398705
3	3	2.442123999597726	2.5460864696651697
3	4	2.428771435276612	2.550901733338833
3	5	2.4200529007019695	2.533044306561351
3	6	2.4151976868197633	2.5095243845134974
3	7	2.4153718800394683	2.516006057150662
3	8	2.4068694053204744	2.5187840815633535
3	9	2.3968427694448224	2.506445568986237
3	10	2.397712913374384	2.501183992251754
3	11	2.393800812376129	2.5304777873679996
3	12	2.3904805457466964	2.5266618598252535
3	13	2.3926263735531927	2.5007634265348315
3	14	2.3889684082640636	2.520577131770551
3	15	2.3927372951920214	2.526256578043103
3	16	2.386564027439881	2.523217186331749
3	17	2.381569026285535	2.5055896248668432
3	18	2.385476652142051	2.514120649546385
3	19	2.3844271300139126	2.505484465509653
3	20	2.3877601754832103	2.5390091240406036
3	21	2.386128952922104	2.507166766561568
3	22	2.3753835585984318	2.513639167882502
3	23	2.3802272270505247	2.503352747298777
3	24	2.377813475427928	2.515687668696046
3	25	2.3788104730990383	2.5086529534310102
3	26	2.376416311657929	2.5264734271913767
3	27	2.3788509336072248	2.512913605198264
3	28	2.3756797024524294	2.5065905349329114
3	29	2.371696421003842	2.523085294291377
3	30	2.378377100960775	2.5486794905737042
3	31	2.3720702296057783	2.5241131307557225
3	32	2.378242145676713	2.5110953273251653
3	33	2.366865697909485	2.5070596765726805
3	34	2.378015553722015	2.5008525187149644
3	35	2.375042863659092	2.5069196270778775
3	36	2.3677705987454294	2.528723616153002
3	37	2.3662824007076817	2.5293316282331944
3	38	2.371761868466864	2.547611765563488
3	39	2.368672091904637	2.5118437595665455
3	40	2.3786860775280667	2.5472547011449933
3	41	2.3744916745520137	2.516481688246131
3	42	2.3661118219574013	2.5085673118010163
3	43	2.37325708005395	2.5008598417043686
4	1	2.506676117283898	2.5197654478251934
4	2	2.428597640324306	2.521245377138257
4	3	2.4144039141027243	2.509355688467622
4	4	2.3978322461976873	2.518671886064112
4	5	2.400665357292115	2.5060272300615907
4	6	2.391065135077163	2.501622913405299
4	7	2.3875981428093844	2.523100519552827
4	8	2.3866556653088624	2.495189460925758
4	9	2.378480290616309	2.505575760267675
4	10	2.375058744337175	2.5094557693228126
4	11	2.3781122094788754	2.498352379538119
4	12	2.364278607122548	2.5079948157072067
4	13	2.3622869053087032	2.49432554282248
4	14	2.3629749650721785	2.521342046558857
4	15	2.361670016513004	2.4893740881234407
4	16	2.3584592851412878	2.472732068039477
4	17	2.3686725794747994	2.4998638862743974
4	18	2.3585065339099276	2.4927278300747275
4	19	2.3575350366063885	2.5064226631075144
4	20	2.3592420670536014	2.492174878716469
4	21	2.3601512001319365	2.4951180424541235
4	22	2.3545094267367483	2.53041451331228
4	23	2.3535601905175856	2.5063718128949404
4	24	2.3532415608634483	2.4897101186215878
4	25	2.3529547137188747	2.4961324566975236
4	26	2.347149038908782	2.501095650717616
4	27	2.346740118533998	2.4952367497608066
4	28	2.3513928650767655	2.4960540188476443
4	29	2.3446235926105428	2.497748958878219
4	30	2.3486167900524775	2.500596759840846
4	31	2.351276501127473	2.505884434096515
4	32	2.347867330262711	2.5063524125143886
4	33	2.347600115866928	2.5073523316532373
4	34	2.3396893714170357	2.505724393762648
4	35	2.3416919704083794	2.50897326041013
4	36	2.3451581090376092	2.4964522952213883
4	37	2.334637978850128	2.4800359159708023
4	38	2.340954922973276	2.494330707937479
4	39	2.3438821594927695	2.4913461161777377
4	40	2.3441655944798376	2.52684941329062
4	41	2.3430308538091764	2.520560374483466
4	42	2.342975559038716	2.5011102855205536
4	43	2.3414934441134645	2.4945690743625164
4	44	2.3360694936522237	2.5171941621229053
